ord2,ord3,ord4,sr
0.0991982383637112,0.258188476589409,0.279116213234056,6
0.0967784493763878,0.160641633863658,0.193646679807731,6
0.285388751027757,0.309789476877326,0.368652037070245,4
0.0295853378043878,0.0702631699123587,0.166399121728723,4
0.466834491522876,0.501182798668663,0.569099627119212,2
0.279441545368684,0.455746907537094,0.489090513933183,3
0.351774358611879,0.409709823098765,0.475354123114569,2
0.344903024106703,0.419757272984481,0.455823960083731,3
0.0871350289458805,0.227260540479869,0.299131304499895,5
0.718539947288817,0.747086822931556,0.806564044992902,1
0.787462124938235,0.814997650615886,0.849708221410235,1
0.198606618357053,0.252299658200444,0.285164981905646,5
