param,sr
7419.50631227772,6
5936.10748134209,6
4261.51374091391,4
3066.3250570814,4
2370.98612019778,2
2290.15934021011,3
1882.13447090949,2
1621.15621461123,3
1269.96910114675,5
356.497904330581,1
78.2133284274827,1
2423.58821516877,5
