E1,type
-0.860708501823448,3
5.35607689784543,4
1.05816023807811,4
4.8617318197434,2
-4.47784188776512,3
2.08640502705799,3
-1.79436826101903,4
5.53472380315489,2
5.40774603862755,2
-0.805954346560684,3
-0.422334305287664,3
-4.00020161923054,6
-2.45068104760853,2
-2.76181059033797,3
-1.90753302954437,3
-3.44357640903171,2
-1.14994404383137,3
4.47126602558579,4
5.4055832920089,4
0.512600544772544,4
3.87567210449813,4
-4.51706686064944,6
2.09959868131321,4
-4.27851761909066,4
4.20541971256241,6
3.78478739019498,4
-1.46316255542233,4
0.3107407782724,2
4.41096228348575,2
1.78143574045871,2
-1.86697969118933,3
2.68622500319029,3
-0.140250509801331,2
1.35197341167553,2
4.07063533658249,2
0.226609864810153,2
-2.46592579204635,2
-4.17280133523524,3
3.649554495346,3
-1.18135205478508,3
3.87825923080798,5
-3.47888708835982,3
-2.16165752977632,2
-1.15897352746022,2
-4.00412889006723,6
-1.06466989528456,2
-3.83490697114031,6
3.13646535331906,2
-3.97474026313816,3
-0.940537780547202,3
-3.64664929299688,3
-4.56362494581813,3
1.11662377370607,3
-3.22576239019988,3
-0.7395452121357,3
5.10611402901384,3
-2.76118560143197,3
-3.86013448619789,3
0.939846436869645,3
1.58788674997315,3
-2.35672706501532,2
2.5497159053517,2
3.493395488489,3
3.12289867193597,3
5.28209681279321,4
-0.960142104648144,3
-3.55229490091237,3
-1.8630858455062,3
-1.69496466232194,3
-3.48500834027782,3
-0.137065192989276,2
4.80209547973317,4
0.596797476802368,4
5.04197859899517,4
2.73861982856389,4
5.28809588428381,4
5.17547180361781,3
-4.5061257617362,4
3.94733994160822,3
-3.88545179869237,4
-2.21730828877651,3
-3.1722061311601,4
-4.62659893664477,3
-4.39462685539444,3
-2.38809291168607,4
-4.21996649342324,4
-3.92979184988125,3
-4.63040495676635,6
-4.47186974687808,6
-0.387525682977113,6
0.547257683158244,4
5.17426559740403,4
-3.28598295523839,4
-1.88231831535476,6
1.29571755763178,4
5.23482376416993,4
2.69822822144735,2
5.57924240790935,2
4.43392681794674,4
4.67723746240096,2
4.83358152237052,2
5.44562490980849,2
2.99459310778134,2
4.20999577579938,2
1.60425783697399,2
1.08782306348178,2
4.09884602269384,2
-3.69643852254811,6
4.90546172485706,6
5.09807454987626,1
-1.2758316441744,3
-1.8605093776298,3
4.50384301945799,3
2.15352811026039,2
1.59181214600176,3
5.0397592474894,3
-1.00296737733385,3
4.59504845582882,2
2.65119411265785,2
-4.47092303633706,2
-0.918777472379757,2
-1.1141487893582,2
4.40818318054299,2
2.56330277012378,2
-1.7513008720562,3
-4.29205609771953,3
-3.62043597546407,3
-3.8521016561877,3
-3.72707031122003,3
-4.51777016662565,3
3.27652940824579,3
3.84995371070893,3
1.88397985318032,3
0.900470839117892,2
3.47175021773026,3
-0.17026281172677,3
4.87286873391757,2
4.22014573703854,2
-1.98023964763962,3
2.73651662974291,5
-0.773185131238056,5
1.12573710614422,2
1.25230698993558,5
-1.59399696992731,5
-4.14008870384753,3
-3.27334280194776,3
-3.23298139073991,3
-3.99151062308842,3
0.901303737604984,3
-4.22199645980434,3
-4.48412107330628,3
-2.93392414032553,3
-3.33744491967153,3
-0.991050430144197,3
-2.6384840407417,3
0.772756303207839,2
-1.94421679349674,2
1.28139499099149,2
-4.19915895666948,2
-2.56374011829013,2
-2.94836828840827,2
-3.93953326692226,2
-3.7563141203062,2
-3.14873066131406,2
0.78616389319048,2
-3.71771135104026,2
-3.47269052266922,2
-4.43919868072809,6
-4.40839020872083,3
-2.09769752783743,3
-3.71578519500326,2
-1.94869639238933,2
3.79290503226454,2
-2.15518046622144,3
-0.210891998586916,3
-3.49868031774832,3
-1.88105564087908,3
-2.53472285579729,3
-4.15028599962916,3
-2.50572904976408,3
-3.40927088189548,3
-1.70089120472123,3
0.250450962322808,3
0.22328680729157,3
0.497411714385894,3
-4.35171009410803,3
-4.2214989837665,2
-2.43013474643252,2
1.19223295389234,3
-4.63006791982727,2
-4.34469065622079,2
-4.66126932620436,2
4.06017021389098,3
-4.25095821971373,3
-4.47895272353721,3
-4.00057126388173,3
-3.17487414667152,3
-4.02976928223877,3
-3.60993804401086,3
-3.64229273188377,3
4.76004758867963,3
-3.56945850476753,3
4.81771927347227,3
4.1523884710092,3
-3.14633281705265,3
0.672063310041414,3
0.674405303010974,3
-2.39697090094547,3
-2.9159836069543,3
-3.65792923018537,3
-4.45802410536975,3
-3.01214286880156,3
2.99897281520797,3
1.75243531141007,3
-3.6804834460201,3
-2.84308148519015,3
-3.07401305722787,3
-1.77379849655678,3
-4.38622692941967,3
-2.83566550038441,4
-3.89196566308352,3
-4.26666060986082,3
-2.43427315855044,3
-3.08017157331558,3
2.90703905555012,2
3.65108546306728,2
-4.2901831524929,2
-3.60477759233702,2
-3.51349782656393,2
-3.90870084878534,2
1.63619805386219,2
-4.40384366193726,2
-1.64935493869638,2
0.377884122166646,3
-2.12211570497845,3
3.26484046626461,3
1.94361335376381,3
0.502084514870719,4
3.20211250487581,4
-0.361489378366398,3
-2.56048009221612,4
-3.56137252965686,4
-0.471657867754995,3
-4.46856634661326,3
-4.41320160000091,3
-4.18859275636429,3
-2.90420135901228,3
-1.8574901088988,3
-3.41264492912541,3
-4.27930050898832,3
-1.50227637708161,3
-1.18246760631599,3
-1.05144156165989,3
-3.27590089930258,3
-2.14455836963948,3
-0.428104754391325,3
-2.01124043648549,3
-3.35959316607679,3
-0.423100303057925,3
-2.91744223722585,3
3.92895128788295,3
4.98340132363844,4
2.12943018590769,4
4.31600857703163,4
5.02271033034706,4
5.49107396506328,4
4.42529764942752,4
4.19373803312073,4
4.9308745114348,4
4.59345302413923,2
-3.84559327457773,4
2.84594507495885,4
1.67688984189619,4
1.72648717793149,4
1.3689362803559,4
-1.76933617473133,4
-0.163166274498176,4
-4.26608924206493,4
-3.39181765366919,4
2.85017538866938,4
0.797622740735001,4
2.24868895622616,4
0.882407339771651,4
-0.801372925753128,4
4.91517272703836,4
5.13753427086246,4
3.08524463205796,4
2.71634586211631,4
0.0729089176062439,4
3.63536053966144,4
5.16422530018661,4
0.217900340194507,4
5.00043141096925,3
5.31455746055545,4
4.31578208970028,4
2.93736185181621,4
3.85932397610553,4
4.70580074501899,4
4.6898359338801,2
4.78137148123935,4
4.85862079313041,4
-4.17038263363734,4
-4.07792458532936,4
4.21794549898396,4
